brand,model,announced,display_resolution,OS,internal_memory,RAM,battery,approx_price_EUR
Asus,Zenfone AR ZS571KL,2017  January,5.7 inches (~72.6% screen-to-body ratio),Android,256.0,8.0,Non-removable Li-Ion 3300 mAh battery,800.0
Huawei,Mate 9 Porsche Design,2016  November,5.5 inches (~73.2% screen-to-body ratio),Android,256.0,6.0,Non-removable Li-Po 4000 mAh battery,1400.0
Gionee,M2017,2016  December,5.7 inches (~74.4% screen-to-body ratio),Android,128.0,6.0,Non-removable Li-Po 7000 mAh battery,1150.0
ZTE,nubia Z17,2017  June,5.5 inches (~74.7% screen-to-body ratio),Android,128.0,6.0,Non-removable Li-Po 3200 mAh battery,500.0
vivo,Xplay6,2016  November,5.46 inches (~72.6% screen-to-body ratio),Android,128.0,6.0,Non-removable Li-Ion 4080 mAh battery,700.0
vivo,Xplay5 Elite,2016  March,5.43 inches (~69.5% screen-to-body ratio),Android,128.0,6.0,Non-removable Li-Ion 3600 mAh battery,610.0
ZTE,Axon 7s,2017  April,5.5 inches (~73.3% screen-to-body ratio),Android,128.0,6.0,Non-removable Li-Ion 3400 mAh battery,700.0
Gionee,M6s Plus,2017  April,6.0 inches (~75.1% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Po 6020 mAh battery,460.0
Oppo,R11 Plus,2017  June,6.0 inches (~73.0% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Po 4000 mAh battery,500.0
Oppo,R9s Plus,2016  October,6.0 inches (~75.1% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Po 4000 mAh battery,570.0
Xiaomi,Mi 6,2017  April,5.15 inches (~71.4% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Po 3350 mAh battery,400.0
OnePlus,5,2017  June,5.5 inches (~73.0% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Po 3300 mAh battery,500.0
vivo,X9 Plus,2016  November,5.88 inches (~74.5% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Ion 4000 mAh battery,580.0
OnePlus,3T,2016  November,5.5 inches (~73.1% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Ion 3400 mAh battery,440.0
OnePlus,3,2016  June,5.5 inches (~73.1% screen-to-body ratio),Android,64.0,6.0,Non-removable Li-Ion 3000 mAh battery,400.0
Samsung,Galaxy C9 Pro,2016  October,6.0 inches (~75.5% screen-to-body ratio),Android,64.0,6.0,Non-removable 4000 mAh battery,620.0
Apple,iPad Pro 12.9,2017  June,12.9 inches (~76.4% screen-to-body ratio),iOS,512.0,4.0,Non-removable Li-Ion battery (41 Wh),900.0
Apple,iPad Pro 10.5,2017  June,10.5 inches (~78.3% screen-to-body ratio),iOS,512.0,4.0,Non-removable Li-Ion battery (30.4 Wh),730.0
Apple,iPad Pro,2015  September,12.9 inches (~77.0% screen-to-body ratio),iOS,256.0,4.0,Non-removable Li-Ion 10|307 mAh battery (38.8 Wh),850.0
Huawei,nova 2 plus,2017  May,5.5 inches (~72.3% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Po 3340 mAh battery,380.0
LG,G6,2017  February,5.7 inches (~78.6% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Po 3300 mAh battery,750.0
Xiaomi,Mi 5,2016  February,5.15 inches (~73.1% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Po 3000 mAh battery,240.0
Xiaomi,Mi Mix,2016  October,6.4 inches (~83.6% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 4400 mAh battery,770.0
Xiaomi,Redmi Pro,2016  July,5.5 inches (~72.2% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 4050 mAh battery,210.0
vivo,Xplay5,2016  March,5.43 inches (~69.5% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 3600 mAh battery,520.0
Google,Pixel XL,2016  October,5.5 inches (~71.2% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 3450 mAh battery,880.0
Micromax,Dual 5,2017  March,5.5 inches,Android,128.0,4.0,Non-removable Li-Ion 3200 mAh battery,360.0
HTC,U Ultra,2017  January,5.7 inches (~69.7% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 3000 mAh battery,750.0
ZTE,Axon Lux,2015  July,5.5 inches (~71.7% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 3000 mAh battery,450.0
Google,Pixel,2016  October,5.0 inches (~69.0% screen-to-body ratio),Android,128.0,4.0,Non-removable Li-Ion 2770 mAh battery,770.0
LG,V20,2016  September,5.7 inches (~72.4% screen-to-body ratio),Android,64.0,4.0,Removable Li-Ion 3200 mAh battery,560.0
Xiaomi,Mi Pad 3,2017  April,7.9 inches (~71.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 6600 mAh battery,290.0
Asus,Zenpad 3S 10 Z500M,2016  July,9.7 inches (~74.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 5900 mAh battery (22 Wh),400.0
Huawei,Honor Note 8,2016  August,6.6 inches (~74.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 4500 mAh battery,440.0
Oppo,R9 Plus,2016  March,6.0 inches (~75.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 4120 mAh battery,550.0
Coolpad,Cool S1,2016  December,5.5 inches (~73.7% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 4070 mAh battery,420.0
Huawei,Mate 9,2016  November,5.9 inches (~77.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 4000 mAh battery,630.0
Huawei,Mate 9 Pro,2016  November,5.5 inches (~73.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 4000 mAh battery,850.0
Lenovo,ZUK Z2,2016  May,5.0 inches (~70.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3500 mAh battery,220.0
LeEco,Le Max,2016  January,6.33 inches (~79.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3400 mAh battery,350.0
Huawei,P9 Plus,2016  April,5.5 inches (~72.7% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3400 mAh battery,580.0
Huawei,Honor 9,2017  June,5.15 inches (~70.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3200 mAh battery,500.0
Gionee,S6 Pro,2016  June,5.5 inches (~72.4% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3130 mAh battery,390.0
Oppo,R9s,2016  October,5.5 inches (~73.4% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3010 mAh battery,450.0
Oppo,R11,2017  June,5.5 inches (~72.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,400.0
BLU,Life One X2 Mini,2017  January,5.0 inches (~69.7% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,170.0
Allview,X4 Soul,2017  February,5.5 inches (~70.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,420.0
Allview,X3 Soul Pro,2016  February,5.5 inches (~72.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,450.0
Asus,Zenfone Zoom ZX551ML,2015  September,5.5 inches (~66.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,500.0
Samsung,Galaxy Note5 Duos,2015  August,5.7 inches (~76.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,600.0
Samsung,Galaxy Note5,2015  August,5.7 inches (~75.9% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,590.0
Asus,Zenfone 2 Deluxe ZE551ML,2015  August,5.5 inches (~70.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 3000 mAh battery,500.0
Huawei,nova 2,2017  May,5.0 inches (~69.7% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 2950 mAh battery,330.0
ZTE,nubia Z17 mini,2017  April,5.2 inches (~70.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 2950 mAh battery,310.0
Oppo,F1 Plus,2016  March,5.5 inches (~73.9% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 2850 mAh battery,350.0
Lenovo,Yoga Tab 3 Pro,2015  December,10.1 inches (~66.9% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Po 10|200 mAh battery,480.0
Xiaomi,Mi Max 2,2017  May,6.44 inches (~74.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 5300 mAh battery,280.0
Asus,Zenfone 3 Zoom ZE553KL,2017  January,5.5 inches (~70.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 5000 mAh battery,550.0
Gionee,A1 Plus,2017  February,6.0 inches (~71.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4550 mAh battery,370.0
ZTE,Axon 7 Max,2016  October,6.0 inches (~78.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4100 mAh battery,500.0
Xiaomi,Mi Note 2,2016  October,5.7 inches (~74.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4070 mAh battery,610.0
Lenovo,Phab2 Pro,2016  June,6.4 inches (~70.9% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4050 mAh battery,550.0
Gionee,A1,2017  February,5.5 inches (~70.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4010 mAh battery,280.0
Oppo,F3 Plus,2017  March,6.0 inches (~75.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4000 mAh battery,480.0
vivo,X7 Plus,2016  June,5.7 inches (~72.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4000 mAh battery,680.0
ZTE,nubia Z11 Max,2016  June,6.0 inches (~75.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 4000 mAh battery,360.0
Lenovo,K80,2015  April,5.5 inches,Android,64.0,4.0,Non-removable Li-Ion 4000 mAh battery,280.0
Huawei,P10 Plus,2017  February,5.5 inches (~71.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3750 mAh battery,700.0
Gionee,S10B,2017  May,5.5 inches,Android,64.0,4.0,Non-removable Li-Ion 3700 mAh battery,240.0
Samsung,Galaxy S7 edge,2016  February,5.5 inches (~76.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3600 mAh battery,570.0
Samsung,Galaxy S8+,2017  March,6.2 inches (~84.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3500 mAh battery,900.0
Motorola,Moto Z Force,2016  June,5.5 inches (~70.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3500 mAh battery,720.0
Samsung,Galaxy Note7,2016  August. Released 2016  September,5.7 inches (~78.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3500 mAh battery,850.0
Samsung,Galaxy Note7 (USA),2016  August. Released 2016  August,5.7 inches (~79.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3500 mAh battery,760.0
Gionee,S10,2017  May,5.5 inches (~70.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3450 mAh battery,380.0
Meizu,Pro 6 Plus,2016  November,5.7 inches (~74.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3400 mAh battery,550.0
Samsung,Galaxy C7 Pro,2017  January,5.7 inches (~74.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3300 mAh battery,420.0
Samsung,Galaxy C7,2016  May,5.7 inches (~74.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3300 mAh battery,450.0
ZTE,Axon 7,2016  May,5.5 inches (~72.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3250 mAh battery,410.0
Sony,Xperia XZ Premium,2017  February,5.46 inches (~68.4% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3230 mAh battery,750.0
Oppo,A77,2017  May,5.5 inches,Android,64.0,4.0,Non-removable Li-Ion 3200 mAh battery,330.0
Oppo,F3,2017  May,5.5 inches (~72.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3200 mAh battery,380.0
Huawei,P10,2017  February,5.1 inches (~71.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3200 mAh battery,600.0
vivo,V5 Plus,2017  January,5.5 inches (~73.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3160 mAh battery,450.0
Vertu,Signature Touch (2015),2015  September,5.2 inches (~65.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3160 mAh battery,9000.0
BQ,Aquaris X Pro,2017  April,5.2 inches (~70.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3100 mAh battery,370.0
Lenovo,ZUK Z2 Pro,2016  April,5.2 inches (~72.7% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3100 mAh battery,520.0
Meizu,Pro 6s,2016  November,5.2 inches (~71.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3060 mAh battery,430.0
vivo,X9,2016  November,5.5 inches (~73.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3050 mAh battery,460.0
HTC,U11,2017  May,5.5 inches (~71.4% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,750.0
Samsung,Galaxy S8,2017  March,5.8 inches (~83.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,700.0
vivo,V5s,2017  April,5.5 inches (~71.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,280.0
HTC,Desire 10 Pro,2016  September,5.5 inches (~70.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,460.0
Asus,Zenfone 3 Deluxe 5.5 ZS550KL,2016  October,5.5 inches (~71.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,440.0
ZTE,nubia Z11 mini S,2016  October,5.2 inches (~70.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,270.0
Gionee,S9,2016  November,5.5 inches (~70.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,370.0
vivo,X6S Plus,2016  March,5.7 inches (~70.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,410.0
vivo,X7,2016  June,5.2 inches (~71.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,640.0
Gionee,S8,2016  February,5.5 inches (~72.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,450.0
Samsung,Galaxy S7,2016  February,5.1 inches (~72.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,500.0
HTC,10,2016  April,5.2 inches (~71.1% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,500.0
Xiaomi,Mi Note Pro,2015  January,5.7 inches (~74.4% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,250.0
Samsung,Galaxy S6 edge+ (USA),2015  August,5.7 inches (~76.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,550.0
Samsung,Galaxy S6 edge+ Duos,2015  August,5.7 inches (~76.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,530.0
Samsung,Galaxy Note5 (USA),2015  August,5.7 inches (~76.8% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,540.0
Samsung,Galaxy S6 edge+,2015  August,5.7 inches (~75.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 3000 mAh battery,530.0
Archos,Diamond 2 Plus,2016  March,5.5 inches (~76.2% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2950 mAh battery,250.0
Huawei,Honor Magic,2016  December,5.09 inches (~69.9% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2900 mAh battery,600.0
ZTE,nubia Z9,2015  May,5.2 inches (~74.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2900 mAh battery,350.0
Coolpad,Max,2016  June,5.5 inches (~72.5% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2800 mAh battery,380.0
Samsung,Galaxy C5,2016  May,5.2 inches (~71.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2600 mAh battery,360.0
Motorola,Moto Z,2016  June,5.5 inches (~72.0% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2600 mAh battery,540.0
Meizu,Pro 6,2016  April,5.2 inches (~71.6% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2560 mAh battery,410.0
vivo,X6S,2016  March,5.2 inches (~68.3% screen-to-body ratio),Android,64.0,4.0,Non-removable Li-Ion 2400 mAh battery,350.0
Xiaomi,Mi 5s Plus,2016  September,5.7 inches (~74.6% screen-to-body ratio),Android,64.0,4.0,Non-removable 3800 mAh battery,370.0
Gionee,W909,2016  March,4.2 inches (~62.4% screen-to-body ratio),Android,64.0,4.0,Li-Ion 2530 mAh battery,550.0
LG,V10,2015  October,5.7 inches (~70.8% screen-to-body ratio),Android,32.0,4.0,Removable Li-Ion 3000 mAh battery,250.0
LG,G5,2016  February,5.3 inches (~70.1% screen-to-body ratio),Android,32.0,4.0,Removable Li-Ion 2800 mAh battery,450.0
Asus,Zenpad 3S 10 Z500KL,2017  January,9.7 inches (~73.2% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 7800 mAh battery (30 Wh),450.0
Huawei,MediaPad M3 8.4,2016  September,8.4 inches (~76.4% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 5100 mAh battery,340.0
Asus,Zenpad 3 8.0 Z581KL,2016  December,7.9 inches (~69.0% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 4680 mAh battery (18 Wh),390.0
Gionee,F5,2017  January,5.3 inches (~69.3% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 4000 mAh battery,250.0
YU,Yunicorn,2016  May,5.5 inches (~72.1% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 4000 mAh battery,180.0
Huawei,G9 Plus,2016  August,5.5 inches (~72.6% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 3340 mAh battery,280.0
Oppo,R7s,2015  October,5.5 inches (~72.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 3070 mAh battery,260.0
Huawei,Honor 8,2016  July,5.2 inches (~72.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 3000 mAh battery,340.0
YU,Yutopia,2015  December,5.2 inches (~69.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Po 3000 mAh battery,420.0
Lenovo,P2,2016  September,5.5 inches (~71.7% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 5100 mAh battery,240.0
ZTE,Blade A2 Plus,2017  February,5.5 inches (~70.6% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 5000 mAh battery,200.0
Samsung,Galaxy A9 Pro (2016),2016  March,6.0 inches (~75.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 5000 mAh battery,500.0
LeEco,Le Pro3 Elite,2017  March,5.5 inches (~74.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4070 mAh battery,280.0
LeEco,Le Pro3,2016  September,5.5 inches (~73.8% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4070 mAh battery,330.0
Coolpad,Cool1 dual,2016  August,5.5 inches (~73.3% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4060 mAh battery,200.0
Coolpad,Note 5,2016  September,5.5 inches (~72.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4010 mAh battery,180.0
LeEco,Le Pro 3 AI Edition,2017  April,5.5 inches (~72.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4000 mAh battery,280.0
Samsung,Galaxy S7 active,2016  June,5.1 inches (~64.3% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 4000 mAh battery,710.0
Samsung,Galaxy S7 edge (USA),2016  February,5.5 inches (~76.1% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3600 mAh battery,550.0
Huawei,Honor V8,2016  May,5.7 inches (~73.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3500 mAh battery,450.0
Samsung,Galaxy J7 Max,2017  June,5.7 inches (~72.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3300 mAh battery,250.0
Gionee,S10C,2017  May,5.2 inches,Android,32.0,4.0,Non-removable Li-Ion 3100 mAh battery,200.0
LeEco,Le Max 2,2016  April,5.7 inches (~73.6% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3100 mAh battery,350.0
BlackBerry,DTEK60,2016  October,5.5 inches (~71.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,530.0
Sharp,Z2,2016  October,5.5 inches (~71.7% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,330.0
vivo,Y67,2016  November,5.5 inches (~71.8% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,270.0
vivo,V5,2016  November,5.5 inches (~71.8% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,250.0
Samsung,Galaxy S7 (USA),2016  February,5.1 inches (~72.3% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,460.0
vivo,V3Max,2016  April,5.5 inches (~70.3% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,300.0
LeEco,Le 2 Pro,2016  April,5.5 inches (~74.4% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,260.0
ZTE,Axon Pro,2015  July,5.5 inches (~73.5% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 3000 mAh battery,350.0
Sony,Xperia XZs,2017  February,5.2 inches (~70.9% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 2900 mAh battery,660.0
Sony,Xperia XA1 Ultra,2017  February,6.0 inches (~76.1% screen-to-body ratio),Android,32.0,4.0,Non-removable Li-Ion 2700 mAh battery,380.0
Samsung,Galaxy Tab S3 9.7,2017  February,9.7 inches (~72.7% screen-to-body ratio),Android,32.0,4.0,Non-removable 6000 mAh battery,750.0
YU,Yureka Black,2017  June,5.0 inches (~69.7% screen-to-body ratio),Android,32.0,4.0,Li-Po 3000 mAh battery,9000.0
Lava,Z25,2017  March,5.5 inches (~72.0% screen-to-body ratio),Android,32.0,4.0,Li-Ion 3020 mAh battery,250.0
BlackBerry,Aurora,2017  March,5.5 inches (~71.4% screen-to-body ratio),Android,32.0,4.0,Li-Ion 3000 mAh battery,250.0
Panasonic,Eluga Ray Max,2017  April,5.2 inches (~69.0% screen-to-body ratio),Android,32.0,4.0,Li-Ion 3000 mAh battery,170.0
Micromax,Canvas 6 Pro E484,2016  April,5.5 inches,Android,16.0,4.0,Non-removable Li-Ion 3000 mAh battery,180.0
Huawei,Honor 7,2015  June,5.2 inches (~72.4% screen-to-body ratio),Android,16.0,3.0,Non-removable Li-Po 3100 mAh battery,300.0
Xiaomi,Mi Note,2015  January,5.7 inches (~74.4% screen-to-body ratio),Android,16.0,3.0,Non-removable Li-Ion 3000 mAh battery,190.0
OnePlus,One,2014  April,5.5 inches (~71.9% screen-to-body ratio),Android,16.0,3.0,Non-removable Li-Po 3100 mAh battery,250.0
Huawei,P8,2015  April,5.2 inches (~71.4% screen-to-body ratio),Android,16.0,3.0,Non-removable Li-Po 2680 mAh battery,270.0
Apple,iPhone 7 Plus,2016  September,5.5 inches (~67.7% screen-to-body ratio),iOS,256.0,3.0,Non-removable Li-Ion 2900 mAh battery (11.1 Wh),900.0
Samsung,Galaxy Note Edge,2014  September,5.6 inches (~77.2% screen-to-body ratio),Android,64.0,3.0,Removable Li-Ion 3000 mAh battery,400.0
Samsung,Galaxy Tab Pro 12.2,2014  January,12.2 inches (~71.7% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 9500 mAh battery,420.0
Google,Pixel C,2015  October,10.2 inches (~72.4% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 9240 mAh battery (34.2 Wh),600.0
Allview,P8 Energy Pro,2016  February,6.0 inches (~76.0% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 5020 mAh battery,420.0
Gionee,Marathon M5 Plus,2015  December,6.0 inches (~75.5% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 5020 mAh battery,420.0
Huawei,P8max,2015  April,6.8 inches (~74.1% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 4360 mAh battery,420.0
Lenovo,ZUK Z1,2015  August,5.5 inches (~69.3% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 4100 mAh battery,320.0
Huawei,Ascend Mate7 Monarch,2014  December,6.0 inches (~78.0% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 4100 mAh battery,500.0
Motorola,Moto Maxx,2014  November,5.2 inches (~70.9% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3900 mAh battery,300.0
BLU,Pure XL,2015  September,6.0 inches (~73.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3500 mAh battery,310.0
QMobile,Noir E8,2015  November,6.0 inches (~73.5% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3500 mAh battery,400.0
Lenovo,Vibe X3,2015  November,5.5 inches (~70.8% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3500 mAh battery,300.0
Allview,X2 Xtreme,2015  June,6.0 inches (~73.8% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3500 mAh battery,490.0
Gionee,Elife E8,2015  June,6.0 inches (~73.5% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3500 mAh battery,480.0
Huawei,Nexus 6P,2015  September,5.7 inches (~71.4% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3450 mAh battery,450.0
Motorola,Nexus 6,2014  October,5.96 inches (~74.1% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Po 3220 mAh battery,420.0
Samsung,Galaxy Note Pro 12.2 3G,2014  January,12.2 inches (~71.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 9500 mAh battery,640.0
Samsung,Galaxy Note Pro 12.2,2014  January,12.2 inches (~71.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 9500 mAh battery,540.0
Samsung,Galaxy Tab Pro 12.2 LTE,2014  January,12.2 inches (~71.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 9500 mAh battery,500.0
Samsung,Galaxy Tab Pro 12.2 3G,2014  January,12.2 inches (~71.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 9500 mAh battery,470.0
Samsung,Galaxy Note Pro 12.2 LTE,2014  January,12.2 inches (~71.6% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 9500 mAh battery,670.0
Samsung,Galaxy Tab S2 9.7,2015  July,9.7 inches (~72.7% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 5870 mAh battery,520.0
Samsung,Galaxy Tab S2 8.0,2015  July,8.0 inches (~74.0% screen-to-body ratio),Android,64.0,3.0,Non-removable Li-Ion 4000 mAh battery,440.0
